season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2012,2012/12/26,Port Elizabeth,South Africa , New Zealand,South Africa ,South Africa ,bat,33,
2012,2012/12/28,Ahmedabad,India , Pakistan,India , Pakistan,field,11,
2013,2013/01/26,Sydney,Australia , Sri Lanka, Sri Lanka,Australia ,bat,,5
2013,2013/01/28,Melbourne,Australia ,Sri Lanka,Sri Lanka,Australia ,field,2,
2013,2013/02/09,Auckland,New Zealand ,England,England,New Zealand ,field,40,
2013,2013/02/12,Hamilton,New Zealand ,England,New Zealand ,England,field,55,
2013,2013/02/13,Brisbane,Australia , West Indies, West Indies, West Indies,bat,27,
2013,2013/02/15,Wellington,New Zealand ,England,England,England,field,,
2013,2013/03/01,Durban,South Africa ,Pakistan,,,,-,-
2013,2013/03/02,North Sound,West Indies,Zimbabwe,West Indies,Zimbabwe,bat,,8
2013,2013/03/03,Sharjah,Afghanistan , Scotland,Afghanistan ,Afghanistan ,bat,27,
2013,2013/03/03,Centurion,South Africa ,Pakistan,Pakistan,Pakistan,bat,95,
2013,2013/03/03,North Sound,West Indies,Zimbabwe,West Indies,West Indies,bat,41,
2013,2013/03/04,Sharjah,Afghanistan , Scotland,Afghanistan , Scotland,bat,,7
2013,2013/03/15,ICCA Dubai,Canada, Kenya,Canada, Kenya,bat,,5
2013,2013/03/16,ICCA Dubai,Canada,Kenya,Kenya,Kenya,bat,21,
2013,2013/03/31,Pallekele,Sri Lanka ,Bangladesh,Sri Lanka ,Bangladesh,field,17,
2013,2013/04/19,Windhoek,Kenya ,Netherlands,Kenya ,Netherlands,bat,,5
2013,2013/04/20,Windhoek,Kenya ,Netherlands,Netherlands,Kenya ,field,,7
2013,2013/05/11,Bulawayo,Zimbabwe ,Bangladesh,Zimbabwe ,Zimbabwe ,bat,6,
2013,2013/05/12,Bulawayo,Zimbabwe ,Bangladesh,Bangladesh,Bangladesh,bat,34,
2013,2013/06/25,The Oval,England , New Zealand, New Zealand,England ,field,5,
2013,2013/06/27,The Oval,England , New Zealand,, New Zealand,field,-,-
2013,2013/07/04,Aberdeen,Scotland ,Kenya,Scotland ,Scotland ,bat,35,
2013,2013/07/05,Aberdeen,Scotland,Kenya,Scotland ,Kenya,bat,,7
2013,2013/07/27,Kingstown,West Indies,Pakistan,Pakistan,West Indies,bat,,2
2013,2013/07/28,Kingstown,West Indies,Pakistan,Pakistan,Pakistan,bat,11,
2013,2013/08/02,Colombo (RPS),Sri Lanka ,South Africa,South Africa,South Africa,bat,12,
2013,2013/08/04,Hambantota,Sri Lanka ,South Africa,South Africa,South Africa,bat,22,
2013,2013/08/06,Hambantota,Sri Lanka ,South Africa,Sri Lanka ,South Africa,bat,,6
2013,2013/08/23,Harare,Zimbabwe ,Pakistan,Pakistan,Zimbabwe ,field,25,
2013,2013/08/24,Harare,Zimbabwe ,Pakistan,Pakistan,Zimbabwe ,field,19,
2013,2013/08/29,Southampton,England ,Australia,Australia,England ,field,39,
2013,2013/08/31,Chester-le-Street,England , Australia,England , Australia,field,27,
2013,2013/09/30,Sharjah,Afghanistan , Kenya,Afghanistan ,Afghanistan ,bat,106,
2013,2013/10/10,Rajkot,India ,Australia,India ,India ,field,,6
2013,2013/10/11,Sharjah,Afghanistan , Kenya, Kenya, Kenya,bat,34,
2013,2013/11/06,Dhaka,Bangladesh , New Zealand, New Zealand, New Zealand,bat,15,
2013,2013/11/13,Dubai (DSC),Pakistan , South Africa, South Africa,Pakistan ,bat,,9
2013,2013/11/15,Sharjah,Afghanistan ,Netherlands,Netherlands,Netherlands,bat,,7
2013,2013/11/15,Dubai (DSC),Pakistan ,South Africa,South Africa,South Africa,bat,6,
2013,2013/11/16,Sharjah,Afghanistan , Scotland,Afghanistan ,Afghanistan ,bat,17,
2013,2013/11/16,Abu Dhabi,Canada , Ireland, Ireland,Canada ,field,2,
2013,2013/11/19,ICCA Dubai,Kenya ,Scotland,Kenya ,Kenya ,bat,92,
2013,2013/11/19,Pallekele,Sri Lanka , New Zealand,,,,-,-
2013,2013/11/20,Johannesburg,South Africa ,Pakistan,South Africa ,Pakistan,field,4,
2013,2013/11/21,Pallekele,Sri Lanka , New Zealand, New Zealand, New Zealand,bat,,8
2013,2013/11/22,ICCA Dubai,Netherlands ,Scotland,Scotland,Scotland,bat,15,
2013,2013/11/22,Cape Town,South Africa ,Pakistan,Pakistan,Pakistan,bat,6,
2013,2013/11/23,ICCA Dubai,Kenya ,Netherlands,Netherlands,Netherlands,bat,29,
2013,2013/11/24,Sharjah,Afghanistan , Kenya, Kenya, Kenya,bat,34,
2013,2013/11/26,Sharjah,Canada , Kenya, Kenya, Kenya,bat,21,
2013,2013/11/28,Abu Dhabi,Netherlands ,Scotland,Scotland,Scotland,bat,,8
2013,2013/11/30,Abu Dhabi,Afghanistan , Ireland, Ireland, Ireland,bat,68,
2013,2013/12/08,Sharjah,Afghanistan , Pakistan, Pakistan,Afghanistan ,bat,,6
2013,2013/12/11,Dubai (DSC),Pakistan ,Sri Lanka,Pakistan ,Pakistan ,field,,3
2013,2013/12/13,Dubai (DSC),Pakistan ,Sri Lanka,Sri Lanka,Pakistan ,field,24,
2014,2014/01/11,Auckland,New Zealand , West Indies,New Zealand ,New Zealand ,bat,81,
2014,2014/01/15,Wellington,New Zealand , West Indies,New Zealand , West Indies,bat,,4
2014,2014/01/29,Hobart,Australia ,England,Australia ,Australia ,bat,13,
2014,2014/01/31,Melbourne,Australia , England,Australia , England,bat,,8
2014,2014/02/02,Sydney,Australia , England,Australia ,Australia ,bat,84,
2014,2014/02/12,Chattogram,Bangladesh, Sri Lanka, Sri Lanka,Bangladesh,field,2,
2014,2014/02/14,Chattogram,Bangladesh, Sri Lanka, Sri Lanka,Bangladesh,bat,,3
2014,2014/02/19,Kingston,West Indies ,Ireland,Ireland,West Indies ,bat,,6
2014,2014/02/21,Kingston,West Indies , Ireland,West Indies , Ireland,field,11,
2014,2014/03/09,Port Elizabeth,South Africa , Australia,,,,-,-
2014,2014/03/09,Bridgetown,West Indies ,England,England,England,bat,27,
2014,2014/03/11,Bridgetown,West Indies , England,West Indies ,West Indies ,bat,,5
2014,2014/03/12,Durban,South Africa , Australia, Australia, Australia,field,,5
2014,2014/03/13,Bridgetown,West Indies , England,West Indies , England,bat,5,
2014,2014/03/13,Bridgetown,West Indies , England, England, England,bat,5,
2014,2014/03/14,Centurion,South Africa ,Australia,Australia,Australia,field,,6
2014,2014/03/16,Dhaka,Bangladesh,Afghanistan,Bangladesh,Bangladesh,field,,9
2014,2014/03/17,Sylhet,Ireland , Zimbabwe,Ireland ,Ireland ,field,,3
2014,2014/03/17,Sylhet,Netherlands ,U.A.E.,Netherlands ,U.A.E.,bat,,6
2014,2014/03/18,Chattogram,Afghanistan , Hong Kong,Afghanistan , Hong Kong,bat,,7
2014,2014/03/18,Chattogram,Bangladesh, Nepal,Bangladesh,Bangladesh,field,,8
2014,2014/03/19,Sylhet,Ireland , U.A.E.,Ireland ,Ireland ,field,21,
2014,2014/03/19,Sylhet,Netherlands ,Zimbabwe,Zimbabwe,Netherlands ,bat,,5
2014,2014/03/20,Chattogram,Afghanistan , Nepal, Nepal,Afghanistan ,field,9,
2014,2014/03/20,Chattogram,Bangladesh,Hong Kong,Hong Kong,Hong Kong,field,,2
2014,2014/03/21,Dhaka,India , Pakistan,India ,India ,field,,7
2014,2014/03/21,Sylhet,Ireland , Netherlands, Netherlands, Netherlands,field,,6
2014,2014/03/21,Sylhet,U.A.E, Zimbabwe, Zimbabwe, Zimbabwe,field,,5
2014,2014/03/22,Chattogram,England , New Zealand, New Zealand, New Zealand,field,9,
2014,2014/03/22,Chattogram,South Africa ,Sri Lanka,Sri Lanka,Sri Lanka,bat,5,
2014,2014/03/23,Dhaka,Australia , Pakistan, Pakistan,Australia ,field,16,
2014,2014/03/23,Dhaka,India ,West Indies,India ,India ,field,,7
2014,2014/03/24,Chattogram,Netherlands ,Sri Lanka,Sri Lanka,Sri Lanka,field,,9
2014,2014/03/24,Chattogram,New Zealand , South Africa, South Africa,New Zealand ,field,2,
2014,2014/03/25,Dhaka,Bangladesh, West Indies, West Indies,Bangladesh,field,73,
2014,2014/03/27,Chattogram,England , Sri Lanka,England ,England ,field,,6
2014,2014/03/27,Chattogram,Netherlands , South Africa, South Africa,Netherlands ,field,6,
2014,2014/03/28,Dhaka,Australia ,West Indies,West Indies,Australia ,bat,,6
2014,2014/03/28,Dhaka,Bangladesh,India,India,India,field,,8
2014,2014/03/29,Chattogram,England ,South Africa,South Africa,England ,field,3,
2014,2014/03/29,Chattogram,Netherlands ,New Zealand,New Zealand,New Zealand,field,,6
2014,2014/03/30,Dhaka,Australia ,India,India,Australia ,field,73,
2014,2014/03/30,Dhaka,Bangladesh, Pakistan, Pakistan, Pakistan,bat,50,
2014,2014/03/31,Chattogram,England ,Netherlands,Netherlands,England ,field,45,
2014,2014/03/31,Chattogram,New Zealand , Sri Lanka, Sri Lanka,New Zealand ,field,59,
2014,2014/04/01,Dhaka,Bangladesh,Australia,Australia,Bangladesh,bat,,7
2014,2014/04/01,Dhaka,Pakistan , West Indies, West Indies, West Indies,bat,84,
2014,2014/04/03,Dhaka,Sri Lanka ,West Indies,Sri Lanka ,Sri Lanka ,bat,27,
2014,2014/04/04,Dhaka,India , South Africa,India , South Africa,bat,,6
2014,2014/04/06,Dhaka,India , Sri Lanka, Sri Lanka, Sri Lanka,field,,6
2014,2014/05/20,The Oval,England , Sri Lanka, Sri Lanka,England ,field,9,
2014,2014/07/05,Roseau,West Indies , New Zealand, New Zealand, New Zealand,field,12,
2014,2014/07/06,Roseau,West Indies ,New Zealand,New Zealand,New Zealand,field,39,
2014,2014/08/27,Basseterre,West Indies , Bangladesh,, Bangladesh,bat,-,-
2014,2014/09/07,Birmingham,England ,India,England ,England ,bat,3,
2014,2014/10/05,Dubai (DSC),Australia ,Pakistan,Australia ,Pakistan,bat,,6
2014,2014/11/05,Adelaide,Australia ,South Africa,South Africa,Australia ,bat,,7
2014,2014/11/07,Melbourne,Australia , South Africa, South Africa, South Africa,bat,,7
2014,2014/11/09,Sydney,Australia ,South Africa,Australia ,Australia ,field,,2
2014,2014/12/04,Dubai (DSC),New Zealand , Pakistan, Pakistan, Pakistan,field,,7
2014,2014/12/05,Dubai (DSC),New Zealand , Pakistan,New Zealand, Pakistan,field,17,
2015,2015/01/09,Cape Town,South Africa , West Indies, West Indies,South Africa ,bat,,4
2015,2015/01/11,Johannesburg,South Africa , West Indies, West Indies, West Indies,field,,4
2015,2015/01/14,Durban,South Africa , West Indies,South Africa , West Indies,field,69,
2015,2015/04/24,Dhaka,Bangladesh ,Pakistan,Bangladesh ,Pakistan,bat,,7
2015,2015/05/22,Lahore,Pakistan , Zimbabwe,Pakistan , Zimbabwe,bat,,5
2015,2015/05/24,Lahore,Pakistan , Zimbabwe,Pakistan , Zimbabwe,bat,,2
2015,2015/06/18,Bready,Ireland , Scotland, Scotland,Ireland ,bat,,6
2015,2015/06/19,Bready,Ireland ,Scotland,,Scotland,bat,-,-
2015,2015/06/20,Bready,Ireland ,Scotland,Scotland,Scotland,field,,6
2015,2015/06/21,Bready,Ireland ,Scotland,,Ireland,bat,-,-
2015,2015/06/23,Manchester,England , New Zealand,England ,England ,bat,56,
2015,2015/06/30,Amstelveen,Netherland, Nepal,Netherland,Netherland,bat,18,
2015,2015/07/01,Amstelveen,Netherland, Nepal,Netherland, Nepal,field,103,
2015,2015/07/02,Rotterdam,Netherland,Nepal,Netherland,Netherland,bat,18,
2015,2015/07/03,Rotterdam,Netherland, Nepal, Nepal,Netherland,bat,,3
2015,2015/07/05,Dhaka,Bangladesh , South Africa, South Africa, South Africa,bat,52,
2015,2015/07/07,Dhaka,Bangladesh , South Africa, South Africa, South Africa,bat,31,
2015,2015/07/09,Edinburgh,Afghanistan ,Netherlands,Netherlands,Netherlands,bat,32,
2015,2015/07/09,Edinburgh,Scotland , U.A.E.,Scotland ,Scotland ,field,,9
2015,2015/07/10,Edinburgh,Afghanistan ,U.A.E.,Afghanistan ,U.A.E.,bat,,8
2015,2015/07/11,Edinburgh,Scotland , Netherlands, Netherlands, Netherlands,bat,32,
2015,2015/07/12,Edinburgh,Netherland, U.A.E.,Netherland,Netherland,field,,7
2015,2015/07/12,Edinburgh,Scotland , Afghanistan, Afghanistan, Afghanistan,bat,37,
2015,2015/07/13,Belfast,Ireland ,Nepal,Ireland ,Ireland ,field,,8
2015,2015/07/15,Belfast,Ireland ,P.N.G.,P.N.G.,Ireland ,bat,,2
2015,2015/07/17,Dublin (Malahide),Ireland , Hong Kong, Hong Kong,Ireland ,field,5,
2015,2015/07/17,Harare,Zimbabwe , India, India, India,bat,54,
2015,2015/07/19,Harare,Zimbabwe , India,Zimbabwe ,Zimbabwe ,bat,10,
2015,2015/07/21,Dublin (Malahide),Afghanistan , Hong Kong,Afghanistan , Hong Kong,bat,,5
2015,2015/07/23,Dublin (Malahide),Afghanistan , P.N.G.,Afghanistan , P.N.G.,bat,,6
2015,2015/07/25,Dublin,Afghanistan , Oman,Afghanistan ,Afghanistan ,field,,5
2015,2015/07/25,Dublin (Malahide),Hong Kong , Scotland, Scotland, Scotland,field,,5
2015,2015/07/25,Dublin (Malahide),Ireland ,Netherlands,Netherlands,Netherlands,field,,5
2015,2015/07/26,Dublin (Malahide),Ireland ,Hong Kong,,,bat,-,-
2015,2015/07/26,Dublin (Malahide),Netherland, Scotland,,,,-,-
2015,2015/07/30,Colombo (RPS),Sri Lanka , Pakistan, Pakistan, Pakistan,bat,29,
2015,2015/08/01,Colombo (RPS),Sri Lanka ,Pakistan,Pakistan,Sri Lanka ,bat,,1
2015,2015/08/09,Harare,Zimbabwe ,New Zealand,New Zealand,Zimbabwe ,field,80,
2015,2015/08/14,Durban,South Africa , New Zealand,South Africa ,South Africa ,field,,6
2015,2015/08/16,Centurion,South Africa , New Zealand, New Zealand, New Zealand,bat,32,
2015,2015/08/31,Cardiff,England , Australia,England , Australia,field,5,
2015,2015/09/27,Harare,Zimbabwe ,Pakistan,Pakistan,Zimbabwe ,bat,13,
2015,2015/09/29,Harare,Zimbabwe , Pakistan, Pakistan,Zimbabwe ,bat,15,
2015,2015/10/11,Kanpur,India ,South Africa,South Africa,South Africa,bat,5,
2015,2015/10/14,Indore,India ,South Africa,India ,India ,bat,22,
2015,2015/10/18,Rajkot,India , South Africa, South Africa, South Africa,bat,18,-
2015,2015/10/22,Chennai,India , South Africa,India ,India ,bat,35,
2015,2015/10/25,Mumbai,India , South Africa, South Africa, South Africa,bat,214,
2015,2015/10/16,Bulawayo,Zimbabwe , Afghanistan, Afghanistan, Afghanistan,bat,58,
2015,2015/10/20,Bulawayo,Zimbabwe , Afghanistan,Zimbabwe , Afghanistan,bat,,8
2015,2015/10/22,Bulawayo,Zimbabwe , Afghanistan, Afghanistan, Afghanistan,bat,6,
2015,2015/10/24,Bulawayo,Zimbabwe , Afghanistan,Zimbabwe , Afghanistan,bat,6,
2015,2015/10/28,Bulawayo,Zimbabwe , Afghanistan, Afghanistan, Afghanistan,bat,,3
2015,2015/11/04,Colombo (RPS),Sri Lanka ,West Indies,Sri Lanka ,Sri Lanka ,field,,1
2015,2015/11/7,Colombo (RPS),Sri Lanka , West Indies,Sri Lanka , West Indies,bat,,8
2015,2015/11/13,Dhaka,Bangladesh ,Zimbabwe,Bangladesh ,Bangladesh ,field,,4
2015,2015/11/15,Dhaka,Bangladesh ,Zimbabwe,Zimbabwe,Bangladesh ,bat,,3
2015,2015/11/26,Dubai (DSC),England ,Pakistan,England ,England ,bat,14,
2015,2015/11/27,Dubai (DSC),England ,Pakistan,England ,England ,bat,3,
2015,2015/11/28,Abu Dhabi,Afghanistan ,Hong Kong,Hong Kong,Afghanistan ,bat,,4
2015,2015/11/29,Abu Dhabi,Afghanistan , Oman,Afghanistan , Oman,field,27,
2015,2015/11/30,Abu Dhabi,Afghanistan , Oman,Afghanistan , Oman,field,12,
2015,2015/11/30,Sharjah,England ,Pakistan,,England,bat,-,-
2016,2016/01/07,Mount Maunganui,New Zealand , Sri Lanka,New Zealand , Sri Lanka,field,3,
2016,2016/01/08,Sharjah,Afghanistan , Zimbabwe,Afghanistan ,Afghanistan ,bat,5,
2016,2016/01/10,Sharjah,Afghanistan ,Zimbabwe,Afghanistan ,Zimbabwe,field,81,
2016,2016/01/10,Auckland,New Zealand , Sri Lanka,New Zealand ,New Zealand ,field,,9
2016,2016/01/15,Khulna,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,bat,,4
2016,2016/01/15,Auckland,New Zealand ,Pakistan,Pakistan,New Zealand ,field,16,
2016,2016/01/17,Khulna,Bangladesh, Zimbabwe,Bangladesh,Bangladesh,bat,42,
2016,2016/01/17,Hamilton,New Zealand , Pakistan,New Zealand , Pakistan,bat,,
2016,2016/01/20,Khulna,Bangladesh, Zimbabwe, Zimbabwe, Zimbabwe,bat,31,
2016,2016/01/22,Khulna,Bangladesh, Zimbabwe, Zimbabwe, Zimbabwe,bat,18,
2016,2016/01/22,Wellington,New Zealand , Pakistan,New Zealand , Pakistan,field,95,
2016,2016/01/26,Adelaide,Australia , India, India,Australia ,field,37,
2016,2016/01/29,Melbourne,Australia , India, India,Australia ,field,27,
2016,2016/01/31,Sydney,Australia ,India,India,Australia ,bat,,7
2016,2016/01/30,Mong Kok,Hong Kong ,Scotland,Hong Kong,Hong Kong,filed,,
2016,2016/01/31,Mong Kok,Hong Kong , Scotland,Hong Kong ,Hong Kong ,filed,37,
2016,2016/02/03,ICCA Dubai,U.A.E. ,Netherlands,Netherlands,U.A.E. ,field,84,
2016,2016/02/04,ICCA Dubai,U.A.E. ,Scotland,Scotland,Scotland,bat,9,
2016,2016/02/05,ICCA Dubai,Netherlands, Scotland, Scotland, Scotland,bat,37,
2016,2016/02/06,Townsville,Ireland , P.N.G.,Ireland ,Ireland ,field,,5
2016,2016/02/07,Townsville,Ireland , P.N.G.,Ireland , P.N.G.,field,7,
2016,2016/02/09,Pune,India , Sri Lanka, Sri Lanka, Sri Lanka,field,,5
2016,2016/02/09,Townsville,Ireland , P.N.G., P.N.G., P.N.G.,bat,11,
2016,2016/02/12,Ranchi,India , Sri Lanka,India , Sri Lanka,field,69,
2016,2016/02/14,Visakhapatnam,India , Sri Lanka,India ,India ,field,,9
2016,2016/02/14,Abu Dhabi,U.A.E. ,Ireland,Ireland,U.A.E. ,field,34,
2016,2016/02/16,Abu Dhabi,U.A.E. ,Ireland,U.A.E. ,U.A.E. ,bat,5,
2016,2016/02/19,Fatullah,Afghanistan , U.A.E., U.A.E., U.A.E.,bat,16,
2016,2016/02/19,Cape Town,South Africa, England,South Africa,South Africa,field,,3
2016,2016/02/20,Fatullah,Afghanistan , Oman,Afghanistan , Oman,bat,,3
2016,2016/02/21,Johannesburg,South Africa,England,South Africa,South Africa,field,,9
2016,2016/02/22,Dhaka,Afghanistan , Hong Kong,Afghanistan , Hong Kong,field,66,
2016,2016/02/24,Dhaka,Bangladesh, India, India,Bangladesh,field,45,
2016,2016/02/25,Dhaka,Sri Lanka , U.A.E.,Sri Lanka , U.A.E.,field,14,
2016,2016/02/26,Dhaka,Bangladesh, U.A.E.,Bangladesh, U.A.E.,field,51,
2016,2016/02/27,Dhaka,India , Pakistan,India ,India ,field,,5
2016,2016/02/28,Dhaka,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,bat,23,
2016,2016/02/29,Dhaka,Pakistan , U.A.E.,Pakistan , U.A.E.,bat,,7
2016,2016/03/01,Dhaka,India , Sri Lanka,India ,India ,field,,5
2016,2016/03/02,Dhaka,Bangladesh,Pakistan,Bangladesh,Pakistan,bat,,5
2016,2016/03/03,Dhaka,India , U.A.E., U.A.E., U.A.E.,bat,,9
2016,2016/03/04,Dhaka,Pakistan , Sri Lanka,Pakistan ,Pakistan ,field,,6
2016,2016/03/04,Durban,South Africa,Australia,South Africa,South Africa,field,,3
2016,2016/03/06,Dhaka,Bangladesh, India, India, India,field,,8
2016,2016/03/06,Johannesburg,South Africa,Australia,South Africa,South Africa,field,,5
2016,2016/03/08,Nagpur,Afghanistan , Scotland,Afghanistan ,Afghanistan ,bat,14,
2016,2016/03/08,Nagpur,Hong Kong , Zimbabwe, Zimbabwe,Hong Kong ,field,14,
2016,2016/03/09,Dharamsala,Bangladesh, Netherlands, Netherlands, Netherlands,field,8,
2016,2016/03/09,Dharamsala,Ireland , Oman, Oman,Ireland,bat,,2
2016,2016/03/04,Cape Town,South Africa,Australia,South Africa,Australia,bat,,3
2016,2016/03/06,Cape Town,South Africa,Australia,Australia,Australia,field,,5
2016,2016/03/09,Cape Town,South Africa,Australia,South Africa,South Africa,bat,,6
2016,2016/03/10,Nagpur,Afghanistan , Hong Kong, Hong Kong, Hong Kong,bat,,6
2016,2016/03/10,Nagpur,Scotland , Zimbabwe, Zimbabwe, Zimbabwe,bat,11,
2016,2016/03/11,Dharamsala,Bangladesh, Ireland,, Ireland,field,-,-
2016,2016/03/11,Dharamsala,Netherlands,Oman,,,,-,-
2016,2016/03/12,Nagpur,Afghanistan ,Zimbabwe,Afghanistan ,Afghanistan ,bat,59,
2016,2016/03/12,Nagpur,Hong Kong , Scotland, Scotland,Hong Kong ,bat,,8
2016,2016/03/13,Dharamsala,Bangladesh,Oman,Bangladesh,Oman,field,54,
2016,2016/03/13,Dharamsala,Ireland ,Netherlands,Netherlands,Ireland ,field,12,
2016,2016/03/15,Nagpur,India ,New Zealand,New Zealand,New Zealand,bat,47,
2016,2016/03/16,Kolkata,Bangladesh,Pakistan,Pakistan,Pakistan,bat,55,
2016,2016/03/16,Mumbai,England , West Indies, West Indies, West Indies,field,,6
2016,2016/03/17,Kolkata,Afghanistan , Sri Lanka, Sri Lanka,Afghanistan ,bat,,6
2016,2016/03/18,Dharamsala,Australia ,New Zealand,New Zealand,New Zealand,bat,8,
2016,2016/03/18,Mumbai,England , South Africa,England ,England ,field,,2
2016,2016/03/19,Kolkata,India , Pakistan,India ,India ,field,,6
2016,2016/03/20,Mumbai,Afghanistan , South Africa, South Africa, South Africa,bat,37,
2016,2016/03/20,Bengaluru,Sri Lanka , West Indies, West Indies, West Indies,field,,7
2016,2016/03/21,Bengaluru,Australia , Bangladesh,Australia ,Australia ,field,,3
2016,2016/03/22,Mohali,New Zealand , Pakistan,New Zealand ,New Zealand ,bat,22,
2016,2016/03/23,Delhi,Afghanistan , England, England, England,bat,15,
2016,2016/03/23,Bengaluru,India , Bangladesh,India , Bangladesh,field,1,
2016,2016/03/25,Mohali,Australia , Pakistan,Australia ,Australia ,bat,21,
2016,2016/03/25,Nagpur,South Africa, West Indies, West Indies, West Indies,field,,3
2016,2016/03/26,Kolkata,Bangladesh, New Zealand, New Zealand, New Zealand,bat,75,
2016,2016/03/26,Delhi,England ,Sri Lanka,England ,Sri Lanka,field,10,
2016,2016/03/27,Nagpur,Afghanistan , West Indies,Afghanistan , West Indies,field,6,
2016,2016/03/27,Mohali,India , Australia,India , Australia,bat,,6
2016,2016/03/28,Delhi,South Africa,Sri Lanka,South Africa,South Africa,field,,8
2016,2016/03/30,Delhi,England , New Zealand,England ,England ,field,,7
2016,2016/03/31,Mumbai,India ,West Indies,West Indies,West Indies,field,,7
2016,2016/04/03,Kolkata,England , West Indies, West Indies, West Indies,field,,4
2016,2016/06/18,Harare,Zimbabwe, India,Zimbabwe, India,bat,2,
2016,2016/06/20,Harare,Zimbabwe, India, India,Zimbabwe,bat,,
2016,2016/06/22,Harare,Zimbabwe, India, India,Zimbabwe,field,3,
2016,2016/07/05,Southampton,England ,Sri Lanka,Sri Lanka,Sri Lanka,bat,,8
2016,2016/08/27,Lauderhill,India , West Indies, West Indies,India ,field,1,
2016,2016/08/28,Lauderhill,India , West Indies,,India,field,-,-
2016,2016/09/05,Bready,Ireland ,Hong Kong,Hong Kong,Hong Kong,bat,40,
2016,2016/09/06,Bready,Ireland , Hong Kong,,,,-,-
2016,2016/09/06,Pallekele,Sri Lanka ,Australia,Australia,Sri Lanka ,field,85,
2016,2016/09/07,Manchester,England , Pakistan, Pakistan,England ,bat,,9
2016,2016/09/09,Colombo (RPS),Sri Lanka , Australia, Australia,Sri Lanka ,bat,,4
2016,2016/09/23,Dubai (DSC),Pakistan ,West Indies,Pakistan ,Pakistan ,field,,9
2016,2016/09/24,Dubai (DSC),Pakistan , West Indies,West Indies, West Indies,field,16,
2016,2016/09/27,Abu Dhabi,Pakistan ,West Indies,Pakistan,Pakistan,bat,,8
2016,2016/12/14,ICCA Dubai,U.A.E. , Afghanistan, Afghanistan, Afghanistan,bat,11,
2016,2016/12/16,Dubai (DSC),U.A.E. , Afghanistan, Afghanistan,U.A.E. ,bat,,5
2016,2016/12/18,ICCA Dubai,U.A.E. , Afghanistan, Afghanistan, Afghanistan,bat,44,
2017,2017/01/03,Napier,New Zealand ,Bangladesh,New Zealand ,Bangladesh,bat,,6
2017,2017/01/06,Mount Maunganui,New Zealand ,Bangladesh,New Zealand ,Bangladesh,field,47,
2017,2017/01/08,Mount Maunganui,New Zealand , Bangladesh,New Zealand , Bangladesh,field,27,
2017,2017/01/14,Abu Dhabi,Afghanistan , Ireland,Afghanistan , Ireland,bat,,5
2017,2017/01/14,Abu Dhabi,Hong Kong , Scotland, Scotland, Scotland,bat,24,
2017,2017/01/15,Abu Dhabi,Netherlands, Oman,Netherlands, Oman,bat,,5
2017,2017/01/16,Abu Dhabi,U.A.E. ,Afghanistan,Afghanistan,Afghanistan,field,,5
2017,2017/01/17,Abu Dhabi,Netherlands, Scotland, Scotland,Netherlands,field,7,
2017,2017/01/18,Dubai (DSC),Hong Kong , Netherlands,Hong Kong ,Hong Kong ,bat,91,
2017,2017/01/18,Dubai (DSC),U.A.E. ,Ireland,Ireland,Ireland,bat,24,
2017,2017/01/19,Dubai (DSC),Oman , Scotland, Scotland,Oman ,bat,,7
2017,2017/01/20,Dubai (DSC),Afghanistan , Ireland,Afghanistan , Ireland,bat,,
2017,2017/01/20,Dubai (DSC),Afghanistan , Oman,Afghanistan ,Afghanistan ,field,,8
2017,2017/01/20,Dubai (DSC),Ireland , Scotland,Ireland , Scotland,field,98,
2017,2017/01/20,Centurion,South Africa ,Sri Lanka,South Africa ,Sri Lanka,field,19,
2017,2017/01/22,Johannesburg,South Africa , Sri Lanka, Sri Lanka,South Africa,bat,,3
2017,2017/01/25,Cape Town,South Africa ,Sri Lanka,Sri Lanka,Sri Lanka,bat,,5
2017,2017/01/26,Kanpur,India , England, England, England,field,,7
